#Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass
Unclassifiable	Unknown	Unknown	396.880241772066
1798534	Unknown	Unknown	161.190893208943
13675	genus	SCOMBER	95.4271851872857
2759	superkingdom	EUKARYOTA	69.3504033554011
2	superkingdom	BACTERIA	49.3460701540458
33634	no rank	STRAMENOPILES	40.0902161561012
278170	subfamily	BALITORINAE	31.4257221644281
186802	order	CLOSTRIDIALES	29.4111063540098
2836	phylum	BACILLARIOPHYTA	26.0204723611746
77133	species	UNCULTURED BACTERIUM	22.1354396184493
100272	species	UNCULTURED EUKARYOTE	21.0904409311829
9577	family	HYLOBATIDAE	20.8882478227391
325166	genus	SYMPHALANGUS	20.8882478227391
9590	species	SYMPHALANGUS SYNDACTYLUS	20.8882478227391
6029	phylum	MICROSPORIDIA	17.4867516550263
186801	class	CLOSTRIDIA	14.3787864061702
252962	species	OSCARELLA TUBERCULATA	13.3086566891695
9606	species	HOMO SAPIENS	12.8502900319321
10116	species	RATTUS NORVEGICUS	11.9123663485237
9604	family	HOMINIDAE	11.4059608568521
357284	species	HOMALOPTERA LEONARDI	10.7378410410409
357283	genus	HOMALOPTERA	10.7378410410409
607660	subfamily	PONGINAE	10.4796054151093
9601	species	PONGO ABELII	10.4796054151093
9599	genus	PONGO	10.4796054151093
30870	family	SCIAENIDAE	10.4723124430682
314293	infraorder	SIMIIFORMES	10.2551926232555
376913	suborder	HAPLORRHINI	10.2551926232555
9526	parvorder	CATARRHINI	10.2551926232555
976	phylum	BACTEROIDETES	9.93580512955591
314295	superfamily	HOMINOIDEA	9.74412654853049
862507	subgenus	MUS	9.56496128722416
10090	species	MUS MUSCULUS	9.56496128722416
10088	genus	MUS	9.56496128722416
10114	genus	RATTUS	9.34179367948635
9605	genus	HOMO	9.01172624776201
33213	no rank	BILATERIA	8.911771390862
9443	order	PRIMATES	8.81801580727413
64898	family	AQUIFICACEAE	8.42210103387814
34755	subspecies	SAGITTA CRASSA NAIKAIENSIS	7.960591002905
1224	phylum	PROTEOBACTERIA	7.79657640722243
314146	superorder	EUARCHONTOGLIRES	7.63867190370195
4751	kingdom	FUNGI	7.41877864204705
33630	no rank	ALVEOLATA	7.36311506156988
9598	species	PAN TROGLODYTES	7.35670216043771
10020	species	DIPODOMYS ORDII	7.3480987850008
2157	superkingdom	ARCHAEA	6.7784056590292
9347	no rank	EUTHERIA	6.67110913812382
33083	order	DICTYOSTELIIDA	6.6310623808309
61392	species	COEMANSIA REVERSA	6.160788722801
1157685	species	RHIZOBIUM SP. JGI 0001005 H05	6.1118573080598
314145	superorder	LAURASIATHERIA	5.91353167710382
1236	class	GAMMAPROTEOBACTERIA	5.8536348098988
9596	genus	PAN	5.76171756403849
74201	phylum	VERRUCOMICROBIA	5.67953717530392
1437010	no rank	BOREOEUTHERIA	5.64248708263212
203449	species	UNCULTURED MARINE EUKARYOTE	5.5426763326599
67812	phylum	OMNITROPHICA	5.5316995820623
42254	species	SOREX ARANEUS	5.48033934027692
37347	species	TUPAIA BELANGERI	5.06001447682807
9224	family	PSITTACIDAE	5.0313703573472
1093141	no rank	NANNOCHLOROPSIS GADITANA CCMP526	4.79586388206257
72520	species	NANNOCHLOROPSIS GADITANA	4.79586388206257
112	order	PLANCTOMYCETALES	4.52939145631323
126	family	PLANCTOMYCETACEAE	4.52939145631323
67820	no rank	MICROGENOMATES	4.4109323172328
32525	no rank	THERIA	4.35409881653212
33154	no rank	OPISTHOKONTA	4.29111602580153
62680	phylum	MARINIMICROBIA	4.2894505975521
8783	superorder	PALAEOGNATHAE	4.1752366758293
33183	order	ONYGENALES	4.12684579069046
35718	family	CHAETOMIACEAE	4.120543057466
1047006	species	OMNITROPHICA BACTERIUM SCGC AAA252 B19	3.93536564827738
8825	superorder	NEOGNATHAE	3.84260015901745
9978	species	OCHOTONA PRINCEPS	3.7304185370942
33317	no rank	PROTOSTOMIA	3.6167648346976
256318	species	METAGENOME	3.6157105309958
55118	family	CLUPEIDAE	3.5025959966457
187300	species	UNCULTURED DINOFLAGELLATE	3.5020675219
9989	order	RODENTIA	3.48766496501288
57723	phylum	ACIDOBACTERIA	3.4542856467427
6072	no rank	EUMETAZOA	3.30346635802521
683832	species	CIRRHINUS MRIGALA	3.12536226747945
59897	genus	CIRRHINUS	3.12536226747945
314147	no rank	GLIRES	3.11296350129728
55120	subfamily	PELLONULINAE	3.0929416508793
219685	class	GEMMATIMONADETES	2.9111447964496
142182	phylum	GEMMATIMONADETES	2.9111447964496
1620410	Unknown	Unknown	2.85280099231621
200795	phylum	CHLOROFLEXI	2.799976371468
405008	species	EUCOMONYMPHA IMLA	2.72514091662481
74152	phylum	ELUSIMICROBIA	2.668494162288
152704	species	UNCULTURED STRAMENOPILE	2.656485304475
415603	species	INFUNDIBULOMYCES SP. NR 2006A	2.62415526344336
9986	species	ORYCTOLAGUS CUNICULUS	2.61728214576279
33695	species	TUBULINOSEMA KINGI	2.59268611852606
29547	class	EPSILONPROTEOBACTERIA	2.5662038024049
9392	order	SCANDENTIA	2.56353267499378
9394	genus	TUPAIA	2.56353267499378
9393	family	TUPAIIDAE	2.56353267499378
186814	family	THERMOANAEROBACTERACEAE	2.5326136033203
51290	superphylum	CHLAMYDIAE/VERRUCOMICROBIA GROUP	2.4950475800765
170	family	LEPTOSPIRACEAE	2.4519061182732
5782	genus	DICTYOSTELIUM	2.38605694697
558314	family	DESULFUROBACTERIACEAE	2.3816237017
203683	class	PLANCTOMYCETIA	2.3612049113713
28216	class	BETAPROTEOBACTERIA	2.3244908713277
580370	class	ZETAPROTEOBACTERIA	2.2714635152491
175245	species	UNCULTURED FUNGUS	2.2119677168739
1104615	species	MICROGENOMATES BACTERIUM SCGC AAA011 L05	2.2109227956906
28211	class	ALPHAPROTEOBACTERIA	2.2093382114389
1046980	no rank	UNCLASSIFIED MICROGENOMATES	2.1692750215794
1104610	species	MICROGENOMATES BACTERIUM SCGC AAA011 B20	2.1329634487675
1760	class	ACTINOBACTERIA	2.0911909548254
201174	phylum	ACTINOBACTERIA	2.0911909548254
9365	species	ERINACEUS EUROPAEUS	2.08317311901927
1752720	Unknown	Unknown	2.0643383152703
2323	no rank	UNCLASSIFIED BACTERIA	2.03054627429199
28221	class	DELTAPROTEOBACTERIA	2.00511716226998
763931	species	KOFOIDINIUM CF. PAVILLARDII	2
33084	no rank	ENTAMOEBIDAE	1.97770658942607
555406	no rank	ARCHAMOEBAE	1.97770658942607
5758	genus	ENTAMOEBA	1.97770658942607
337687	no rank	MUROIDEA	1.94075566474659
68336	superphylum	BACTEROIDETES/CHLOROBI GROUP	1.8745136552045
207598	subfamily	HOMININAE	1.85885242965736
10066	family	MURIDAE	1.80538587287282
39107	subfamily	MURINAE	1.80538587287282
46218	species	COTURNIX CHINENSIS	1.7739891671168
9371	species	ECHINOPS TELFAIRI	1.7594428174732
441375	no rank	CRYPTOSPORIDIUM MURIS RN66	1.74207255771714
5808	species	CRYPTOSPORIDIUM MURIS	1.74207255771714
1963758	Unknown	Unknown	1.73533630931676
95818	phylum	CANDIDATUS SACCHARIBACTERIA	1.66131629361586
56262	species	PANDION HALIAETUS	1.648456240912
56260	subfamily	PANDIONINAE	1.648456240912
56261	genus	PANDION	1.648456240912
1783234	Unknown	Unknown	1.59723313731919
260504	family	PRISTIGASTERIDAE	1.5883637776563
227387	family	THERMODESULFOBIACEAE	1.5772037048925
522772	no rank	DENITROVIBRIO ACETIPHILUS DSM 12809	1.514232658158
117999	genus	DENITROVIBRIO	1.514232658158
118000	species	DENITROVIBRIO ACETIPHILUS	1.514232658158
1394710	species	CANDIDATE DIVISION WWE3 BACTERIUM RAAC2_WWE3_1	1.51146805567695
422282	no rank	CANDIDATE DIVISION WWE3	1.51146805567695
872	genus	DESULFOVIBRIO	1.49625966069048
6032	suborder	APANSPOROBLASTINA	1.4089164625612
40674	class	MAMMALIA	1.39650956956973
86473	species	UNCULTURED GAMMA PROTEOBACTERIUM	1.3892638972966
29281	species	UNCULTURED CRENARCHAEOTE	1.364124987595
1047061	species	MARINIMICROBIA BACTERIUM JGI 0000059 L03	1.3617723399262
385043	species	UNCULTURED SYNDINIALES	1.3338324970485
231055	species	UNCULTURED GLOMUS	1.314880553712
60468	species	AGAPORNIS ROSEICOLLIS	1.3113935427525
60461	genus	AGAPORNIS	1.3113935427525
89593	subphylum	CRANIATA	1.29895722223461
7742	no rank	VERTEBRATA	1.29895722223461
7776	superclass	GNATHOSTOMATA	1.29895722223461
119	species	PLANCTOMYCES BRASILIENSIS	1.2735549716215
756272	no rank	PLANCTOMYCES BRASILIENSIS DSM 5305	1.2735549716215
554024	species	NEMATODA ENVIRONMENTAL SAMPLE	1.27184612980674
4113	species	SOLANUM TUBEROSUM	1.2704978227801
120965	species	UNCULTURED PLANCTOMYCETE	1.2696426123713
9528	subfamily	CERCOPITHECINAE	1.2571523611343
9527	family	CERCOPITHECIDAE	1.2571523611343
314294	superfamily	CERCOPITHECOIDEA	1.2571523611343
5654	family	TRYPANOSOMATIDAE	1.24973579597131
5653	order	KINETOPLASTIDA	1.24973579597131
995019	family	SUTTERELLACEAE	1.240332511036
303551	species	GONYAULAX FRAGILIS	1.219967265486
175274	species	UNCULTURED ALVEOLATE	1.1975078665568
240359	species	THECADINIUM MUCOSUM	1.185641683314
9363	family	ERINACEIDAE	1.18009986055026
30577	subfamily	ERINACEINAE	1.18009986055026
604433	species	ARBOROPHILA RUFOGULARIS	1.1748322550662
9539	genus	MACACA	1.16961677374768
9544	species	MACACA MULATTA	1.16961677374768
13352	genus	AUXIS	1.168187644081
217026	species	AUXIS ROCHEI	1.168187644081
5741	species	GIARDIA INTESTINALIS	1.16002198197479
68459	subfamily	GIARDIINAE	1.16002198197479
5740	genus	GIARDIA	1.16002198197479
207245	no rank	FORNICATA	1.16002198197479
5739	family	HEXAMITIDAE	1.16002198197479
5738	no rank	DIPLOMONADIDA	1.16002198197479
33554	order	CARNIVORA	1.15541033916967
554915	no rank	AMOEBOZOA	1.1549466697268
424	species	METHYLOMONAS RUBRA	1.14034769837
1157681	species	CAULOBACTER SP. JGI 0001013 O16	1.11625542091
168657	genus	HYDROGENOBACULUM	1.115425603071
9364	genus	ERINACEUS	1.11344875060581
9362	order	INSECTIVORA	1.11344875060581
204428	phylum	CHLAMYDIAE	1.1015633839299
204429	class	CHLAMYDIIA	1.1015633839299
