#Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass
Unclassifiable	Unknown	Unknown	585.567564760389
1798534	Unknown	Unknown	207.919432188627
13675	genus	SCOMBER	137.534156785267
2759	superkingdom	EUKARYOTA	95.3877691981726
33634	no rank	STRAMENOPILES	61.0679195171835
2	superkingdom	BACTERIA	50.8123429663531
77133	species	UNCULTURED BACTERIUM	45.9339636652582
278170	subfamily	BALITORINAE	36.6822991004707
186802	order	CLOSTRIDIALES	35.099378027607
2836	phylum	BACILLARIOPHYTA	30.1536630292803
100272	species	UNCULTURED EUKARYOTE	23.503289801896
9577	family	HYLOBATIDAE	21.7126263602433
325166	genus	SYMPHALANGUS	21.7126263602433
9590	species	SYMPHALANGUS SYNDACTYLUS	21.7126263602433
10116	species	RATTUS NORVEGICUS	21.0637631040727
64898	family	AQUIFICACEAE	19.2105699469064
186801	class	CLOSTRIDIA	18.9883456206827
862507	subgenus	MUS	18.9041844081767
10090	species	MUS MUSCULUS	18.9041844081767
10088	genus	MUS	18.9041844081767
33083	order	DICTYOSTELIIDA	18.3424941814812
10114	genus	RATTUS	18.1250867362306
9601	species	PONGO ABELII	16.5060524880655
6029	phylum	MICROSPORIDIA	15.6835315104876
10020	species	DIPODOMYS ORDII	15.0633246075495
607660	subfamily	PONGINAE	14.8680001564145
9599	genus	PONGO	14.8680001564145
9604	family	HOMINIDAE	14.581802917223
252962	species	OSCARELLA TUBERCULATA	14.325009027087
1224	phylum	PROTEOBACTERIA	14.2866818944939
357284	species	HOMALOPTERA LEONARDI	13.6905015743423
357283	genus	HOMALOPTERA	13.6905015743423
1093141	no rank	NANNOCHLOROPSIS GADITANA CCMP526	13.3378856419475
72520	species	NANNOCHLOROPSIS GADITANA	13.3378856419475
9606	species	HOMO SAPIENS	12.361479927032
33213	no rank	BILATERIA	12.1383889825449
314295	superfamily	HOMINOIDEA	12.0442347260023
33154	no rank	OPISTHOKONTA	11.4706365704697
314293	infraorder	SIMIIFORMES	11.4691007951647
376913	suborder	HAPLORRHINI	11.4691007951647
9526	parvorder	CATARRHINI	11.4691007951647
9443	order	PRIMATES	11.3705284322047
9347	no rank	EUTHERIA	9.41279327554659
2157	superkingdom	ARCHAEA	9.4057159469746
1437010	no rank	BOREOEUTHERIA	8.78560957741729
33630	no rank	ALVEOLATA	8.7370411595176
314146	superorder	EUARCHONTOGLIRES	8.6800312041542
4751	kingdom	FUNGI	8.51446460839927
61392	species	COEMANSIA REVERSA	8.348640883133
42254	species	SOREX ARANEUS	8.2755999590472
67820	no rank	MICROGENOMATES	8.2345103058143
30870	family	SCIAENIDAE	7.6973357544294
1236	class	GAMMAPROTEOBACTERIA	7.66765407675658
9224	family	PSITTACIDAE	7.3979525836849
34755	subspecies	SAGITTA CRASSA NAIKAIENSIS	7.396449794684
115547	species	UNCULTURED ARCHAEON	7.2727231810877
9978	species	OCHOTONA PRINCEPS	7.22295140447066
976	phylum	BACTEROIDETES	7.21585708723305
37347	species	TUPAIA BELANGERI	7.15267845309041
32525	no rank	THERIA	7.14920845046927
9605	genus	HOMO	7.0557147959977
9598	species	PAN TROGLODYTES	6.72877623600607
74201	phylum	VERRUCOMICROBIA	6.66423764935077
314145	superorder	LAURASIATHERIA	6.64415279293003
1157685	species	RHIZOBIUM SP. JGI 0001005 H05	6.0860837908619
9371	species	ECHINOPS TELFAIRI	5.78016353566
112	order	PLANCTOMYCETALES	5.5690498678133
126	family	PLANCTOMYCETACEAE	5.5690498678133
9596	genus	PAN	5.44030766167239
1620410	Unknown	Unknown	5.29520029127732
9989	order	RODENTIA	4.96573981497021
57723	phylum	ACIDOBACTERIA	4.7831788985031
9392	order	SCANDENTIA	4.70512539290079
9394	genus	TUPAIA	4.70512539290079
9393	family	TUPAIIDAE	4.70512539290079
186814	family	THERMOANAEROBACTERACEAE	4.56788124680725
33183	order	ONYGENALES	4.52274904162
29547	class	EPSILONPROTEOBACTERIA	4.39393949469765
1104610	species	MICROGENOMATES BACTERIUM SCGC AAA011 B20	4.3925610789824
6072	no rank	EUMETAZOA	4.36458706787429
203449	species	UNCULTURED MARINE EUKARYOTE	4.3201757351454
8783	superorder	PALAEOGNATHAE	4.31751130746972
9986	species	ORYCTOLAGUS CUNICULUS	4.30211648301806
35718	family	CHAETOMIACEAE	4.246689948473
314147	no rank	GLIRES	4.24017105050422
763931	species	KOFOIDINIUM CF. PAVILLARDII	3.934254617128
219685	class	GEMMATIMONADETES	3.84014586564755
142182	phylum	GEMMATIMONADETES	3.84014586564755
422282	no rank	CANDIDATE DIVISION WWE3	3.8123890075968
33317	no rank	PROTOSTOMIA	3.6731246307163
51290	superphylum	CHLAMYDIAE/VERRUCOMICROBIA GROUP	3.5772218430688
203683	class	PLANCTOMYCETIA	3.5557954167044
405008	species	EUCOMONYMPHA IMLA	3.55322950194364
1104615	species	MICROGENOMATES BACTERIUM SCGC AAA011 L05	3.4735070323033
1047006	species	OMNITROPHICA BACTERIUM SCGC AAA252 B19	3.39075077620963
203682	phylum	PLANCTOMYCETES	3.3773720036711
1046980	no rank	UNCLASSIFIED MICROGENOMATES	3.1357268184987
55118	family	CLUPEIDAE	3.13240043630737
170	family	LEPTOSPIRACEAE	3.111411942353
6032	suborder	APANSPOROBLASTINA	3.02975403505585
146918	genus	SALINIBACTER	3.02944365728933
146919	species	SALINIBACTER RUBER	3.02944365728933
309807	no rank	SALINIBACTER RUBER DSM 13855	3.02944365728933
256318	species	METAGENOME	2.9506279866234
1394710	species	CANDIDATE DIVISION WWE3 BACTERIUM RAAC2_WWE3_1	2.9357774212548
67812	phylum	OMNITROPHICA	2.9321679482883
415603	species	INFUNDIBULOMYCES SP. NR 2006A	2.867959377855
337687	no rank	MUROIDEA	2.79593655933271
33695	species	TUBULINOSEMA KINGI	2.7953959681643
152704	species	UNCULTURED STRAMENOPILE	2.7431563729016
683832	species	CIRRHINUS MRIGALA	2.7193087882362
59897	genus	CIRRHINUS	2.7193087882362
8794	genus	PTEROCNEMIA	2.6994043132619
8795	species	PTEROCNEMIA PENNATA	2.6994043132619
33084	no rank	ENTAMOEBIDAE	2.67458069991139
555406	no rank	ARCHAMOEBAE	2.67458069991139
5758	genus	ENTAMOEBA	2.67458069991139
91061	class	BACILLI	2.6731148656475
1760	class	ACTINOBACTERIA	2.67092633892145
201174	phylum	ACTINOBACTERIA	2.67092633892145
189424	species	MENOIDIUM SP. CCAP 1247/6	2.624386001636
1260624	species	IDIOMARINA SP. 28 8	2.614765419394
207598	subfamily	HOMININAE	2.56830130374651
10066	family	MURIDAE	2.53627027381569
39107	subfamily	MURINAE	2.53627027381569
55120	subfamily	PELLONULINAE	2.4765347392018
640293	no rank	CANDIDATE DIVISION NC10	2.4756207022063
1963758	Unknown	Unknown	2.46966286041637
303551	species	GONYAULAX FRAGILIS	2.461437924995
240359	species	THECADINIUM MUCOSUM	2.415471240809
9365	species	ERINACEUS EUROPAEUS	2.40730634893589
62680	phylum	MARINIMICROBIA	2.3931330019348
5782	genus	DICTYOSTELIUM	2.38695476813062
33554	order	CARNIVORA	2.32664855311321
175275	species	UNCULTURED CERCOZOAN	2.2541425162189
187299	species	UNCULTURED CILIATE	2.2051003762036
33208	kingdom	METAZOA	2.18359539061113
187300	species	UNCULTURED DINOFLAGELLATE	2.1761892086072
68336	superphylum	BACTEROIDETES/CHLOROBI GROUP	2.14698506710295
85101	species	UROCOLIUS MACROURUS	2.0705542120001
56765	species	UNCULTURED MARINE BACTERIUM	2.070455174467
604433	species	ARBOROPHILA RUFOGULARIS	2.0183738023211
86473	species	UNCULTURED GAMMA PROTEOBACTERIUM	2.0100044791123
4762	no rank	OOMYCETES	1.9868359872548
119	species	PLANCTOMYCES BRASILIENSIS	1.9726108406485
756272	no rank	PLANCTOMYCES BRASILIENSIS DSM 5305	1.9726108406485
1407671	species	UNCULTURED MEDITERRANEAN PHAGE UVMED	1.9265513252841
439317	species	GAMBIERDISCUS AUSTRALES	1.922278762482
267893	family	IDIOMARINACEAE	1.90922876844725
135575	genus	IDIOMARINA	1.90922876844725
123368	no rank	ACANTHOMORPHA	1.8983985196765
83763	family	SUCCINIVIBRIONACEAE	1.8943874417068
9363	family	ERINACEIDAE	1.87306950411415
30577	subfamily	ERINACEINAE	1.87306950411415
1385	order	BACILLALES	1.8724926344306
204428	phylum	CHLAMYDIAE	1.86049782009617
204429	class	CHLAMYDIIA	1.86049782009617
51291	order	CHLAMYDIALES	1.86049782009617
68295	order	THERMOANAEROBACTERALES	1.84827813992755
13352	genus	AUXIS	1.8413392319985
217026	species	AUXIS ROCHEI	1.8413392319985
5241	species	TULASNELLA VIOLEA	1.8246174174452
9104	genus	ARBOROPHILA	1.8167884394176
1129771	family	LEPTOTRICHIACEAE	1.81661765297546
74152	phylum	ELUSIMICROBIA	1.7856830953346
338152	subfamily	FELINAE	1.77446151689304
379583	suborder	FELIFORMIA	1.77446151689304
9681	family	FELIDAE	1.77446151689304
5741	species	GIARDIA INTESTINALIS	1.77222320246168
7953	family	CYPRINIDAE	1.76611462709109
30727	superfamily	CYPRINOIDEA	1.76611462709109
8290	genus	POLYPTERUS	1.7492070118113
315267	species	UNCULTURED FRESHWATER EUKARYOTE	1.7273541496311
1047061	species	MARINIMICROBIA BACTERIUM JGI 0000059 L03	1.7013073644399
1203069	species	LACTOBACILLUS GIGERIORUM	1.6992825153115
872325	no rank	LACTOBACILLUS GIGERIORUM CRBIP 24.85	1.6992825153115
9685	species	FELIS CATUS	1.67751842791813
9682	genus	FELIS	1.67751842791813
59463	species	MYOTIS LUCIFUGUS	1.6652814961722
2323	no rank	UNCLASSIFIED BACTERIA	1.65274270534773
68337	class	DEFERRIBACTERES	1.6444085123936
191393	order	DEFERRIBACTERALES	1.6444085123936
200930	phylum	DEFERRIBACTERES	1.6444085123936
191394	family	DEFERRIBACTERACEAE	1.6444085123936
9364	genus	ERINACEUS	1.63677625088068
9362	order	INSECTIVORA	1.63677625088068
175274	species	UNCULTURED ALVEOLATE	1.631626138679
304914	species	SINOCYCLOCHEILUS ALTISHOULDERUS	1.6211689558187
8825	superorder	NEOGNATHAE	1.61292263180286
9595	subspecies	GORILLA GORILLA GORILLA	1.606612164223
9258	species	ORNITHORHYNCHUS ANATINUS	1.6062819966543
4113	species	SOLANUM TUBEROSUM	1.58701956603811
147548	class	LEOTIOMYCETES	1.5759169813525
699262	species	MICROGENOMATES BACTERIUM SCGC AAA011 L6	1.5535246895878
68459	subfamily	GIARDIINAE	1.54089597069418
5740	genus	GIARDIA	1.54089597069418
207245	no rank	FORNICATA	1.54089597069418
5739	family	HEXAMITIDAE	1.54089597069418
5738	no rank	DIPLOMONADIDA	1.54089597069418
8111	order	PERCIFORMES	1.5400599363525
33688	species	AMBLYOSPORA SP.	1.4959318319282
9597	species	PAN PANISCUS	1.48131270482082
28211	class	ALPHAPROTEOBACTERIA	1.4579828654433
5500	genus	COCCIDIOIDES	1.441214196909
441375	no rank	CRYPTOSPORIDIUM MURIS RN66	1.41727840323036
5808	species	CRYPTOSPORIDIUM MURIS	1.41727840323036
29281	species	UNCULTURED CRENARCHAEOTE	1.397393348773
5180	species	SCLEROTINIA SCLEROTIORUM	1.39327873142394
580370	class	ZETAPROTEOBACTERIA	1.37147406390677
2335	genus	THERMOTOGA	1.325765833934
872	genus	DESULFOVIBRIO	1.3188784691051
35128	species	THALASSIOSIRA PSEUDONANA	1.30586551259999
296543	no rank	THALASSIOSIRA PSEUDONANA CCMP1335	1.30586551259999
186624	no rank	ELOPOCEPHALA	1.29899614641175
9739	species	TURSIOPS TRUNCATUS	1.261865171725
911116	no rank	METHANOBREVIBACTER SMITHII TS145A	1.261533580314
539000	family	CLOSTRIDIALES FAMILY XVII. INCERTAE SEDIS	1.2605856002262
665079	no rank	SCLEROTINIA SCLEROTIORUM 1980 UF 70	1.25907591691394
5179	genus	SCLEROTINIA	1.25907591691394
911129	no rank	METHANOBREVIBACTER SMITHII TS95A	1.257626875854
57372	species	MYCOPLASMA SUIS	1.235911906736
1047049	no rank	UNCLASSIFIED ATRIBACTERIA	1.2158721915995
135622	order	ALTEROMONADALES	1.2121498654627
231055	species	UNCULTURED GLOMUS	1.205181142701
53635	species	ACIDIMICROBIUM FERROOXIDANS	1.20117545067733
525909	no rank	ACIDIMICROBIUM FERROOXIDANS DSM 10331	1.20117545067733
53634	genus	ACIDIMICROBIUM	1.20117545067733
147465	genus	EMEUS	1.1958388196181
147466	species	EMEUS CRASSUS	1.1958388196181
147537	subphylum	SACCHAROMYCOTINA	1.19162815397484
4892	order	SACCHAROMYCETALES	1.19162815397484
4891	class	SACCHAROMYCETES	1.19162815397484
181547	species	SNYDERELLA TABOGAE	1.185733783855
152509	species	UNCULTURED BACTEROIDETES BACTERIUM	1.1846568545399
46218	species	COTURNIX CHINENSIS	1.1794855287443
143325	species	ZU CRISTATUS	1.1617382013046
143324	genus	ZU	1.1617382013046
200795	phylum	CHLOROFLEXI	1.1587547603126
766	order	RICKETTSIALES	1.1533969536558
5052	genus	ASPERGILLUS	1.1441424194116
1297	phylum	DEINOCOCCUS THERMUS	1.1388298244768
188787	class	DEINOCOCCI	1.1388298244768
1783272	Unknown	Unknown	1.1136420818344
56262	species	PANDION HALIAETUS	1.1127559543365
56260	subfamily	PANDIONINAE	1.1127559543365
56261	genus	PANDION	1.1127559543365
88036	species	SELAGINELLA MOELLENDORFFII	1.104763137476
224462	suborder	NANNOCYSTINEAE	1.08083967785449
95818	phylum	CANDIDATUS SACCHARIBACTERIA	1.07828406751516
9615	subspecies	CANIS LUPUS FAMILIARIS	1.069109589998
285696	species	UNCULTURED PARABASALID EUKARYOTE	1.0680511157971
118	genus	PLANCTOMYCES	1.0556327026238
255727	suborder	CORIOBACTERINEAE	1.04467955272973
84999	order	CORIOBACTERIALES	1.04467955272973
84107	family	CORIOBACTERIACEAE	1.04467955272973
84998	subclass	CORIOBACTERIDAE	1.04467955272973
229420	species	UNCULTURED TULASNELLA	1.044172261947
1047003	no rank	CANDIDATUS MICROGENOMATUS AURICOLA SCGC AAA011 E14	1.03626746819215
